a,cx_norm,cy_norm,w_norm,h_norm,cls_idx,cls_name,score
8329,0.501803,0.818859,0.749499,0.362634,86,duckbill_ray_aetomylaeus_bovinus,0.080881
8330,0.501509,0.819226,0.745435,0.360520,86,duckbill_ray_aetomylaeus_bovinus,0.045203
8349,0.501323,0.831012,0.751575,0.339701,86,duckbill_ray_aetomylaeus_bovinus,0.034278
8331,0.500767,0.821623,0.751290,0.355007,176,black_marlin_istiompax_indica,0.030265
8328,0.497556,0.821010,0.746911,0.358189,86,duckbill_ray_aetomylaeus_bovinus,0.027197
8332,0.502270,0.822453,0.741813,0.354142,153,blue_marlin_makaira_nigricans,0.021605
8310,0.503034,0.816912,0.737484,0.358408,86,duckbill_ray_aetomylaeus_bovinus,0.018451
8350,0.500766,0.838826,0.746727,0.323683,86,duckbill_ray_aetomylaeus_bovinus,0.017872
8348,0.496714,0.873013,0.744794,0.255357,86,duckbill_ray_aetomylaeus_bovinus,0.015999
8351,0.500532,0.893095,0.752420,0.213274,153,blue_marlin_makaira_nigricans,0.015633
8352,0.502136,0.899020,0.744146,0.200773,153,blue_marlin_makaira_nigricans,0.013036
8311,0.503215,0.816795,0.741133,0.349721,176,black_marlin_istiompax_indica,0.012812
8312,0.511446,0.805065,0.719055,0.322628,176,black_marlin_istiompax_indica,0.011983
8291,0.512299,0.750400,0.717548,0.205930,70,bronze_whaler_shark_carcharhinus_brachyurus,0.011837
8309,0.503159,0.817677,0.745540,0.352695,86,duckbill_ray_aetomylaeus_bovinus,0.010936
8292,0.525723,0.748163,0.685451,0.195427,70,bronze_whaler_shark_carcharhinus_brachyurus,0.006483
8333,0.517763,0.820709,0.709754,0.358333,153,blue_marlin_makaira_nigricans,0.004665
8313,0.536243,0.790130,0.666522,0.285113,176,black_marlin_istiompax_indica,0.004063
8369,0.500647,0.910594,0.750865,0.179068,86,duckbill_ray_aetomylaeus_bovinus,0.003949
8370,0.500106,0.908293,0.744449,0.183770,86,duckbill_ray_aetomylaeus_bovinus,0.003743
